transaction_id,transaction_date,post_date,description,category,transaction_type,amount,balance,currency,account_name,account_type,merchant,city,state,country,reference,channel,status
705A0AA8D06B4BA5,2025-01-01 20:02:55,2025-01-03,Restaurant,Dining,Debit,-51.08,15368.92,USD,Demo High Yield Savings,Savings,Restaurant,Boston,MA,US,REF41074206,Card,Posted
CFBE13FF711749CE,2025-01-02 07:04:49,2025-01-03,Grocery Market,Groceries,Debit,-42.74,15326.18,USD,Demo High Yield Savings,Savings,Grocery Market,San Francisco,CA,US,REF77171016,POS,Posted
1A8AFC246B644098,2025-01-02 14:53:54,2025-01-02,Pharmacy,Health,Debit,-15.72,15310.46,USD,Demo High Yield Savings,Savings,Pharmacy,Miami,FL,US,REF39343051,Card,Posted
82BF0A627E664DA3,2025-01-02 15:11:02,2025-01-02,Cloud Hosting,Infrastructure,Debit,-116.38,15194.08,USD,Demo High Yield Savings,Savings,Cloud Hosting,Chicago,IL,US,REF57949350,ACH,Posted
E94E37933B8D44A5,2025-01-03 05:33:47,2025-01-04,Online Retailer,Shopping,Debit,-70.29,15123.79,USD,Demo High Yield Savings,Savings,Online Retailer,Seattle,WA,US,REF79524101,Online,Posted
35F143B174C04161,2025-01-03 08:44:13,2025-01-05,Restaurant,Dining,Debit,-45.87,15077.92,USD,Demo High Yield Savings,Savings,Restaurant,Miami,FL,US,REF41640398,Card,Posted
46E7CCFAC8214FE3,2025-01-03 16:28:49,2025-01-03,Streaming Service,Entertainment,Debit,-7.60,15070.32,USD,Demo High Yield Savings,Savings,Streaming Service,Denver,CO,US,REF83858433,ACH,Posted
5B18A5D3D87945A8,2025-01-03 21:23:36,2025-01-03,Grocery Market,Groceries,Debit,-52.80,15017.52,USD,Demo High Yield Savings,Savings,Grocery Market,Boston,MA,US,REF38378459,POS,Posted
B7FC46FCFD214567,2025-01-03 21:33:56,2025-01-04,Water Utility,Bills,Debit,-13.19,15004.33,USD,Demo High Yield Savings,Savings,Water Utility,New York,NY,US,REF38320949,ACH,Posted
810B70164E874507,2025-01-05 11:46:54,2025-01-07,Pharmacy,Health,Debit,-32.93,14971.40,USD,Demo High Yield Savings,Savings,Pharmacy,Seattle,WA,US,REF60540462,Card,Pending
F98E3911D8E3492A,2025-01-06 06:28:23,2025-01-08,Coffee Shop,Food & Drink,Debit,-3.28,14968.12,USD,Demo High Yield Savings,Savings,Coffee Shop,New York,NY,US,REF59508547,POS,Posted
8FF4F22D05194652,2025-01-07 05:20:08,2025-01-09,Pharmacy,Health,Debit,-14.55,14953.57,USD,Demo High Yield Savings,Savings,Pharmacy,Boston,MA,US,REF99952040,Card,Pending
AAE79C03E1BB41D1,2025-01-07 18:53:52,2025-01-08,Software Subscription,SaaS,Debit,-35.39,14918.18,USD,Demo High Yield Savings,Savings,Software Subscription,San Francisco,CA,US,REF80793145,ACH,Posted
