Date,Description,Amount,Type,Category,Account
2026-04-04,UNIQLO SOHO 546 BROADWAY NEW YORK NY,599.59,debit,Shopping,Capital One Venture
2026-04-04,NYC MTA METROCARD AUTOREFILL NEW YORK NY,99.54,credit,Public Transit,Capital One Venture
2026-04-03,AplPay NOBU DOWNTOWN NEW YORK NY,64.66,debit,Restaurants,Charles Schwab
2026-04-03,JOE COFFEE 1271 6TH AVE NEW YORK NY USA,6.37,debit,Coffee Shops,Charles Schwab
2026-04-02,EMPLOYER EXPENSE REIMBURSEMENT DIRECT DEP,84.2,credit,Reimbursement,Amex Platinum
2026-04-02,SHAKE SHACK MADISON SQUARE PARK NYC,172.04,debit,Restaurants,Chase Sapphire
2026-04-02,AplPay NOBU DOWNTOWN NEW YORK NY,84.18,debit,Restaurants,Chase Sapphire
2026-04-01,CAVA MEDITERRANEAN GRILL 55 FIFTH AVE NYC,61.25,debit,Restaurants,Wells Fargo
2026-04-01,JOE COFFEE 1271 6TH AVE NEW YORK NY USA,6.74,debit,Coffee Shops,Charles Schwab
2026-04-01,IMPEL PARKING 230 WEST 41ST ST NYC,23.58,debit,Parking,Capital One Venture
2026-04-01,WHOLEFDS MKT #2088       COLUMBUS AVE NEW YORK NY,144.95,debit,Groceries,Capital One Venture
2026-04-01,CORPORATE CARD REIMBURSEMENT ACME CORP,94.71,credit,Reimbursement,Wells Fargo
2026-03-31,AUTOPAY CREDIT CARD CHASE SAPPHIRE,2376.39,credit,Credit Card Payment,Capital One Venture
2026-03-31,LA COLMBE COFFEE ROASTERS NYC,6.69,debit,Coffee Shops,Capital One Venture
2026-03-31,UBER TRIP HELP.UBER.COM CA,30.97,debit,Ride Share,Amex Platinum
2026-03-31,JOE COFFEE 1271 6TH AVE NEW YORK NY USA,9.38,debit,Coffee Shops,Chase Sapphire
2026-03-31,NJ TRANSIT MONTHLY PASS NEWARK NJ,16.99,debit,Public Transit,Chase Sapphire
2026-03-30,TICKETMASTER *BROADWAY SHOW NY,188.95,debit,Entertainment,Charles Schwab
2026-03-30,CON EDISON ELECTRIC BILL NEW YORK NY,75.24,debit,Utilities,Charles Schwab
2026-03-30,WAYFAIR *FURNITURE BOSTON MA,240.84,debit,Home Goods,Amex Platinum
2026-03-30,MORTON WILLIAMS #14     EAST 74TH ST NYC,117.78,debit,Groceries,Charles Schwab
2026-03-29,ZELLE TRANSFER TO SAVINGS ACCOUNT,1566.96,credit,Transfer,Charles Schwab
2026-03-29,AplPay LINCOLN CENTER EVENTS NYC,67.5,debit,Entertainment,Amex Platinum
2026-03-29,LA COLMBE COFFEE ROASTERS NYC,8.64,debit,Coffee Shops,Wells Fargo
2026-03-28,SWEETGREEN 1203 BROADWAY NEW YORK NY USA,117.09,debit,Restaurants,Charles Schwab
2026-03-28,CVS PHARMACY #4567 7TH AVE NEW YORK NY,113.91,debit,Personal Care,Capital One Venture
2026-03-28,DELTA AIR LINES 800-221-1212 ATLANTA GA,1400.77,debit,Travel & Vacation,Wells Fargo
2026-03-27,AMERICAN EXPRESS ONLINE PAYMENT,4458.01,credit,Credit Card Payment,Capital One Venture
2026-03-27,LA COLMBE COFFEE ROASTERS NYC,6.23,credit,Coffee Shops,Chase Sapphire
2026-03-27,GUITAR CENTER 306 5TH AVE NEW YORK NY,20.01,debit,Hobby,Charles Schwab
2026-03-27,WHOLEFDS MKT #2088       COLUMBUS AVE NEW YORK NY,155.64,debit,Groceries,Charles Schwab
2026-03-26,NY E-ZPASS TRI-BOROUGH BRIDGE NY,13.57,debit,Toll,Chase Sapphire
2026-03-25,MOMOFUKU NISSI WA 171 1ST AVE NEW YORK NY,65.49,debit,Restaurants,Capital One Venture
2026-03-25,WIRE TRANSFER OUTGOING DOMESTIC,3960.36,credit,Transfer,Wells Fargo
2026-03-24,NORDSTROM NYC COLUMBUS CIRCLE NY,737.81,credit,Shopping,Chase Sapphire
2026-03-23,LE BERNARDIN 155 WEST 51ST ST NEW YORK NY,164.25,debit,Restaurants,Capital One Venture
